time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-15T00:22:52.017Z,52.4725,-168.0466,15.94,4.6,mb,,137,0.701,1.03,us,us7000gc5b,2022-01-15T00:41:58.040Z,"75 km SE of Nikolski, Alaska",earthquake,7,5.2,0.049,126,reviewed,us,us
2022-01-14T23:43:22.533Z,-18.0028,-178.1076,586.33,4.4,mb,,75,3.665,0.82,us,us7000gc59,2022-01-15T02:55:20.040Z,"272 km E of Levuka, Fiji",earthquake,10.7,9.3,0.055,94,reviewed,us,us
2022-01-14T23:00:56.042Z,42.5584,139.898,164.63,4.1,mb,,94,1.971,0.62,us,us7000gc53,2022-01-14T23:25:13.040Z,"67 km WSW of Niseko Town, Japan",earthquake,11.1,13.6,0.166,10,reviewed,us,us
2022-01-14T22:16:34.244Z,23.9067,122.6131,21.71,4.1,mwr,,109,0.666,0.81,us,us7000gc4g,2022-01-14T23:00:39.040Z,"73 km SSW of Yonakuni, Japan",earthquake,2.5,5.5,0.061,26,reviewed,us,us
2022-01-14T21:37:56.355Z,41.9825,20.0848,10,4.3,mwr,,28,0.656,1.11,us,us7000gc41,2022-01-15T13:06:58.441Z,"10 km SSE of Fushë-Arrëz, Albania",earthquake,5.1,1.9,0.049,40,reviewed,us,us
2022-01-14T21:36:09.720Z,18.3926,-67.6183,99,3.34,md,20,161,0.1394,0.34,pr,pr2022014003,2022-01-15T02:01:54.040Z,"39 km W of Rincón, Puerto Rico",earthquake,2.63,1.55,0.15,15,reviewed,pr,pr
2022-01-14T21:27:45.262Z,67.6322,-158.7848,10,2.7,ml,,123,0.622,0.4,us,us7000gc3z,2022-01-15T02:05:04.040Z,"72 km NW of Ambler, Alaska",earthquake,4.2,2,0.052,48,reviewed,us,us
2022-01-14T20:34:27.686Z,-7.1191,105.2777,42.18,4.7,mb,,65,2.378,1.5,us,us7000gc3e,2022-01-14T23:01:50.040Z,"102 km SW of Labuan, Indonesia",earthquake,5.7,2.2,0.069,75,reviewed,us,us
2022-01-14T19:09:54.150Z,36.4763,70.493,208.06,4.3,mb,,72,0.651,0.68,us,us7000gc2k,2022-01-14T21:59:02.040Z,"52 km SW of Jurm, Afghanistan",earthquake,6.4,2.8,0.069,67,reviewed,us,us
2022-01-14T17:11:11.581Z,44.3462,-115.1739,12.14,2.6,ml,,62,0.956,1.26,us,us7000gc10,2022-01-14T22:28:14.500Z,"23 km NW of Stanley, Idaho",earthquake,2.3,9,0.04,82,reviewed,us,us
